Index,CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,Plastic,Rubber,Cloth,Processed Lumber,Metal,Glass,Other
676,Swiss Litter Report,Bodensee_Steinach_Dolder_A,CH,,92,Urban,Other (mixed),20180324,Cleanup,,9.436171386,47.50629918,9.436930447,47.50564823,146,20,9,26,160,57,2
677,Legambiente Onlus,Spiaggia dei Gigli Isola Capo Rizzuto (KR),IT,Unknown,100,,,20180408,Monitoring,,0.000153132,0.000349619,0.000153141,0.000349619,97,8,5,9,12,4,0
678,Legambiente Onlus,"Spiaggia Palombina, Ancona (AN)",IT,Mediterranean Sea,100,,,20150506,Cleanup,,13.4522222,43.6110278,13.4532222,43.6110278,734,8,4,35,47,7,0
679,Swiss Litter Report,rhein_laag_jungbluthn,DE,,163,Rural,Rocky,20170820,Cleanup,,8.717210402,47.69152541,8.715379336,47.69072451,0,0,0,0,0,2,0
680,Legambiente Onlus,Marinoni Venezia (VE),IT,Unknown,100,,,20180422,Monitoring,,0.000111243,0.000408002,0.000111252,0.000408002,403,12,5,9,20,24,0
681,Swiss Litter Report,sempachersee_sempach_tampec,CH,,16,,,20180228,Cleanup,,8.191873684,47.1286181,8.191974288,47.12875135,44,0,0,0,88,785,0
682,Independent,Playa El Portús,ES,Mediterranean Sea,122,Rural,Rocky,20180822,Cleanup,,-1.074190486,37.58420308,-1.072843819,37.58404937,333,0,0,24,72,2,0
683,Swiss Litter Report,Rhein_Basel_HungerbuehlerN,CH,,33,,,20170927,Cleanup,,7.610348826,47.55821758,7.609944468,47.5580976,0,0,0,0,4,6,0
684,DeFishGear - Slovenia,Bele skale 1 MS Monitoring ,SI,Mediterranean Sea,106,Urban,Pebbels,20180410,Monitoring,,13.62293341,45.53586968,13.62184979,45.53643754,197,0,9,1,8,0,0
685,Plastic Change,Lejre Vig II,DK,North-east Atlantic Ocean,100,Rural,Rocky,20171013,Monitoring,,11.99125,55.683035,11.99203,55.682251,1,0,1,1,0,1,0
686,Swiss Litter Report,vierwaldstättersee_weggis_schöberls_3,CH,,67,,,20170709,Cleanup,,8.410800962,47.02995659,8.41128942,47.02945143,25,1,0,3,12,2,0
687,Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20180124,Cleanup,,8.513088026,47.42847285,8.512952828,47.42936038,2,0,0,0,0,0,0
688,Perseus,Alepu,BG,Black Sea,105,Rural,Sandy,20140717,Cleanup,,27.70921843,42.36708233,27.70950129,42.36616388,409,8,1,2,16,2,0
689,"Aarhus University, Denmark ",Skomagerkrogen,DK,North-east Atlantic Ocean,100,Rural,Sandy,20170410,Monitoring,,12.09103274,55.67006725,12.09031659,55.67087199,468,54,13,69,44,22,8
690,Legambiente Onlus,"Oasi dunale Torre di Mare, Capaccio-Paestum (SA)",IT,Mediterranean Sea,100,,,20170428,Monitoring,,14.98339,40.42399,14.98439,40.42399,171,8,7,50,42,13,1
691,Independent,Neum,BA,Mediterranean Sea,1551,Urban,Other (mixed),20160424,Cleanup,,17.61979085,42.91792327,17.60769942,42.92868772,2215,0,18,0,0,350,0
692,DeFishGear - Slovenia,Strunjan MS Monitoring ,SI,Mediterranean Sea,101,Urban,Pebbels,20171123,Monitoring,,13.60225756,45.53593545,13.60188741,45.53680532,272,12,2,10,20,29,2
693,Perseus,Gradina,BG,Black Sea,124,Urban,Sandy,20140624,Cleanup,,27.66981916,42.40895472,27.66837124,42.40924141,163,0,1,0,0,3,0
694,NIMRD Grigore Antipa,Ammos,RO,Black Sea,412,Urban,Sandy,20180819,Cleanup,,28.62191666,44.26533211,28.62185253,44.26903858,237,3,4,8,56,8,0
695,Plastic Change,Aarhus Strand ved Varna Palæet,,Baltic Sea,112,Urban,Pebbels,20190123,Cleanup,,10.21849244,56.12485494,10.21936225,56.123967,64,0,6,1,12,6,0
696,Hold Danmark Rent,Hellebæk,DK,North-east Atlantic Ocean,2923,,,20131021,Cleanup,,12.59122203,56.05222862,12.55777796,56.07087506,268,4,4,71,528,2,0
697,Legambiente Onlus,"Spiaggia Giannella, Orbetello (GR)",IT,Mediterranean Sea,100,,,20160513,Monitoring,,11.18234,42.45951,11.18334,42.45951,311,36,1,9,8,2,0
698,Surfrider Foundation Europe,"41 Zeedijk, 8380 zeebrugge, Belgique",BE,North-east Atlantic Ocean,69,,,20150509,Cleanup,,3.17168,51.3275,3.17268,51.3275,1049,0,70,0,172,16,0
699,Swiss Litter Report,Sihl_Horgen_BucherF,CH,,24,,,20170921,Cleanup,,8.553682053,47.27269458,8.553417376,47.27282803,11,0,0,0,0,0,0
700,Hold Danmark Rent,Bremdahl,DK,North-east Atlantic Ocean,373,,,20131021,Cleanup,,8.584344648,56.50130004,8.587673899,56.5041179,42,0,0,2,4,0,0
701,Swiss Litter Report,vorderrhein_disentis_schmidn,CH,,19,Rural,Rocky,20180329,Cleanup,,8.857837298,46.69827386,8.857601957,46.69822323,5,0,0,0,0,0,0
702,Swiss Litter Report,rhein_laag_jungbluthn,DE,,163,Rural,Rocky,20171021,Cleanup,,8.717210402,47.69152541,8.715379336,47.69072451,1,0,0,0,0,0,0
703,Independent,Vicki Cockburn,UK,North-east Atlantic Ocean,122,,Pebbels,20130921,Cleanup,,-1.168159403,50.78586842,-1.166432475,50.78570383,486,0,0,0,0,0,0
704,Surfrider Foundation Europe," D106E3 D106E3 Unnamed Road, 33950 Lège-Cap-Ferret, France",FR,North-east Atlantic Ocean,79,,,20140527,Cleanup,,-1.23464,44.7984,-1.23364,44.7984,94,0,0,0,60,35,0
705,Surfrider Foundation Europe,"D106E3 L?ge-Cap-Ferret, 33950 L?ge-Cap-Ferret, France",FR,North-east Atlantic Ocean,79,,,20150405,Cleanup,,-1.23009,44.7984,-1.22909,44.7984,930,9,21,0,56,10,0
706,"Aarhus University, Denmark ",MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20161015,Monitoring,,12.57666753,55.55767488,12.57508718,55.55761141,98,6,0,6,24,2,3
707,Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20140407,Monitoring,,28.59051,43.83461,28.59055,43.83369,264,32,22,41,88,26,0
708,Independent,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20160312,Cleanup,,27.88897856,42.80734896,27.89656751,42.78272613,408,29,11,24,64,18,4
709,Independent,shkorpilovzi,BG,Black Sea,2829,Near river mouth,Sandy,20160311,Cleanup,,27.89612338,42.97028162,27.90188219,42.94517333,305,8,5,4,8,14,0
710,"Aarhus University, Denmark ","Risø, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20170628,Monitoring,,12.08366018,55.6922447,12.0840066,55.69312056,20,0,1,6,8,0,0
711,Swiss Litter Report,aare_bern_scheurerk,CH,,92,,,20170402,Cleanup,,7.452585674,46.97096722,7.451389792,46.97080631,0,0,0,2,0,0,0
712,Independent,Formby Beach,UK,North-east Atlantic Ocean,1362,Rural,Sandy,20190131,Cleanup,,-3.098766304,53.56642256,-3.092082265,53.57800981,179,8,3,0,0,2,0
713,Swiss Litter Report,zulg_steffisburg_schmassmanne,CH,,16,Urban,Other (mixed),20170722,Cleanup,,7.624537223,46.77424307,7.624330563,46.77423203,5,4,0,0,0,1,0
714,Legambiente Onlus,Fiumicello Maratea (PZ),IT,Unknown,100,,,20180427,Monitoring,,0.000141032,0.000359311,0.000141041,0.000359311,271,0,0,29,36,7,0
715,Swiss Litter Report,zuerichsee_zurich_kullg,CH,,53,,,20170530,Cleanup,,8.550474341,47.35395734,8.55053981,47.3544311,557,20,2,24,112,53,4
716,Swiss Litter Report,Lacléman_Gland_LecoanetS,CH,,85,,,20171117,Cleanup,,6.281958615,46.40281064,6.281908085,46.40357722,67,12,0,2,44,4,0
717,Surfrider Foundation Europe,"5266F Boulevard des Salins, 34750 Villeneuve-l?s-Maguelone, France",FR,Mediterranean Sea,81,,,20150212,Cleanup,,3.84866,43.5189,3.84966,43.5189,272,140,3,0,60,19,0
718,DeFishGear - Slovenia,Piran MS Monitoring ,SI,Mediterranean Sea,98,Urban,Pebbels,20170529,Monitoring,,13.57499749,45.52819299,13.576006,45.52767109,73,0,0,3,0,14,0
719,Legambiente Onlus,"Spiaggia La Speranza, Alghero (SS)",IT,Mediterranean Sea,100,,,20170425,Monitoring,,8.36698,40.49627,8.36798,40.49627,506,21,1,12,28,15,0
720,Coder Dojo Dunmore East,Lawlors Strand,IE,North-east Atlantic Ocean,195,Urban,Sandy,20190309,Cleanup,,-6.993992195,52.15399093,-6.992270629,52.15539612,29,4,6,0,0,3,0
721,DeFishGear - Slovenia,Debeli rtic 1,IT,Mediterranean Sea,408,Urban,Pebbels,20170923,Cleanup,,13.70704106,45.59306889,13.71227674,45.59338421,157,0,4,19,120,344,0
722,Swiss Litter Report,jona_tann_nusslin,CH,,12,,,20180131,Cleanup,,8.864125149,47.26842718,8.864092428,47.26831725,9,0,0,0,8,7,0
723,Swiss Litter Report,reuss_hünenberg_eberhardy,CH,,28,Rural,Other (mixed),20170612,Cleanup,,8.401012085,47.23297549,8.401218684,47.23318606,21,0,2,5,8,4,0
724,DeFishGear - Slovenia,Fiesa-Pacug MLW Month,SI,Mediterranean Sea,108,Urban,Pebbels,20170923,Cleanup,,13.58521674,45.52614743,13.58383272,45.5260873,2066,7,16,41,160,625,0
725,Swiss Litter Report,Sihl_Horgen_BucherF,CH,,24,,,20180126,Cleanup,,8.553682053,47.27269458,8.553417376,47.27282803,41,7,1,6,28,0,1
726,Perseus,Mavro Lithari,GR,Mediterranean Sea,112,Urban,Sandy,20160126,Cleanup,,23.90437183,37.73524124,23.90498012,37.7361218,28,0,0,3,16,0,0
727,Perseus,raoued,TN,Mediterranean Sea,131,Near river mouth,Sandy,20140318,Cleanup,,10.24768319,36.94538218,10.24668525,36.94623696,178,0,5,8,52,6,0
728,NIMRD Grigore Antipa,Vama Veche - 2 Mai ,BG,Black Sea,4832,Rural,Other (mixed),20180808,Cleanup,,28.58046362,43.74533829,28.5813651,43.78882294,671,0,0,12,20,7,0
729,"Aarhus University, Denmark ","Sønderø, Roskilde Vig",DK,North-east Atlantic Ocean,99,Rural,Pebbels,20160621,Monitoring,,12.08215544,55.66975815,12.08374761,55.6697621,12,0,0,2,0,0,0
730,Legambiente Onlus,"Spiaggia della Feniglia, Orbetello (GR)",IT,Mediterranean Sea,100,,,20150505,Monitoring,,11.26894,42.41937,11.26994,42.41937,678,0,7,21,68,6,0
