"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
16353,"North Goa, Goa, India","Goa, India",India,"15.51961, 73.83706","Land (beach, shoreline and inland)",2017-02-27,,1,0,1,0.01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17105,"Mumbai Suburban, Maharashtra, India",,India,"19.176706642792, 72.794959545135","Land (beach, shoreline and inland)",2016-09-24,"IMF North - Aksa Beach",35,0,35,936.96,1.86,35,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528
17106,"Mumbai, Maharashtra, India","Maharashtra, India",India,"18.953802103607, 72.813692092896","Land (beach, shoreline and inland)",2016-09-24,"IMF North - Chowpatty & Juhu Beach",28,0,28,573.2,2.17,45,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
17108,"Mumbai Suburban, Maharashtra, India","Maharashtra, India",India,"19.06435638839, 72.822661399841","Land (beach, shoreline and inland)",2016-09-24,"IMF North - Bandra Carter Road",35,0,35,683.43,1.86,29,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829
17109,"Mumbai Suburban, Maharashtra, India",,India,"19.197590447345, 72.79641866684","Land (beach, shoreline and inland)",2016-09-25,"IMF North - Marve Beach",42,0,42,264.55,1.24,14,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328
17110,"Mumbai Suburban, Maharashtra, India",,India,"19.140404474781, 72.803070545197","Land (beach, shoreline and inland)",2016-09-25,"IMF North - Versova",150,0,150,2866.01,1.24,78,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687
17112,"Pune, Maharashtra, India","Maharashtra, India",India,"18.539410906595, 73.869441747665","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Mula Mutha River",327,0,327,5544.63,3.54,225,0,0,0,0,0,0,0,0,0,0,0,0,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826
17113,"Pune, Maharashtra, India","Maharashtra, India",India,"18.53839369707, 73.867145776749","Land (beach, shoreline and inland)",2016-12-07,"IMF North -  Mula Mutha River",50,0,50,1477.1,1.24,61,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321
17114,"Nagpur, Maharashtra, India","Maharashtra, India",India,"21.132743096436, 79.046008586884","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Nagpur",32,0,32,209.44,1.55,12,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
17115,"Pune, Maharashtra, India","Maharashtra, India",India,"18.760001640081, 73.500273227692","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Cathedral Vidya school",1,49,50,77.16,1.86,12,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
