CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Swiss Litter Report,sempachersee_sempach_tampec,CH,,16,,,20170915,Cleanup,,8.191873684,47.1286181,8.191974288,47.12875135,,0,0,,0,0,,0,,,1,,,,,,,0,0,0,0,0,0,5,0,,6,2,0,0,0,1,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,11,,,0,0,,,,,5,0,3,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,1,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,1,0,0,0,0,0,0,0,,,,,0,,0,0,0,,1,0,0,1,0,,,0,,,,0,,,2,,0,0,5,0,0,,,0,1,,,,260,0,0,0
Independent,HGKFM,DK,North-east Atlantic Ocean,958745,Rural,Other (mixed),20140510,Cleanup,,28.30370879,57.05087318,12.59912401,56.0569871,,47,36,,7,2,,29,,,,,,,,,,18,,,,,,2,,,24,,,,2,3,,,,,,,,,,,,8,,9,,,,,,,,,,,,,,,,,,,25,,,,46,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,ZugerseeCholler_Cham_BlarerM,CH,,36,,,20171222,Cleanup,,8.48001275,47.17821571,8.480429569,47.17805451,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,4,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,2,3,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,3,0,0,,0,,,0,,1,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,4,0,0,0,,,,,0,,0,0,0,,1,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
HELMEPA - Hellenic Marine Environment Protection Association,Megalo Kavouri,GR,Mediterranean Sea,339,Urban,Sandy,20161002,Monitoring,,23.76909557,37.81987127,23.76714618,37.81725027,,1,40,,57,,,8,,,,,,12,,,,166,,,,14,23,2065,,,,,,,,214,,,,,,,,,,,33,,,,,,,,,,,,,,13,,,,,,,78,111,,573,,5,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,33,8,,,,,,,,,,1,9,,,,,62,,,,,,,,,,,241,,,,,,20,,,223,,,,,,,,,,,,,,,,,184,,,,38,,,,2,,,
Plastic Change,Gunds¯lille,DK,North-east Atlantic Ocean,100,Rural,Rocky,20170712,Monitoring,,12.107316,55.710286,12.10888983,55.71042218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,reuss_h¸nenberg_eberhardy,CH,,28,Rural,Other (mixed),20170410,Cleanup,,8.401012085,47.23297549,8.401218684,47.23318606,,1,,,1,,,,,,,,,,,,,,,,1,,,7,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,2,,,,,4,,1,,,,,,,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,
Swiss Litter Report,zuerichsee_zurich_kullg,CH,,53,,,20170924,Cleanup,,8.550474341,47.35395734,8.55053981,47.3544311,,1,5,,5,0,,0,,,0,,,,,,,3,0,4,3,27,2,138,1,,61,3,3,3,1,3,,1,,,,,,,,,0,0,0,,,,,,0,,,,,0,1,8,,,0,0,,,,,19,0,8,0,,,,0,,2,0,0,,0,4,1,,,0,0,1,,1,2,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,1,0,0,0,2,3,3,0,,,,,0,,0,1,0,,3,0,3,4,0,,,0,,,,0,,,0,,0,0,0,8,3,,,1,0,,,,14,10,2,0
Legambiente Onlus,"Spiaggia di Levante, Terracina (LT)",IT,Mediterranean Sea,100,,,20160430,Monitoring,,13.25821,41.28613,13.25921,41.28613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,7,,,,,3,,
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170501,Monitoring,,9.198334671,47.52407261,9.197132864,47.52438768,,,,,1,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Independent,Ross Beach,IE,North-east Atlantic Ocean,509,Rural,Pebbels,20181025,Cleanup,,-9.869658417,52.58652982,-9.876669361,52.58831171,,1,,,8,8,,10,,,,,,,,,,25,,,,,8,,,,26,,,,1,,,1,,,,,,1,,,5,197,,9,,,,,,,,,,,25,96,,,6,,,,88,,,,4,,,,,,,,,,,,2,,,1,,,,,37,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
