CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Swiss Litter Report,zugersee_Immensee_Guedesd,CH,,21,,,20180130,Cleanup,,8.478881171,47.10668688,8.478635696,47.10660264,,0,0,,0,0,,0,,,0,,,,,,,3,1,0,3,1,0,5,0,,8,0,0,2,0,2,,0,,,,,,,,,2,1,0,,,,,,0,,,,,0,1,0,,,0,0,,,,,0,0,54,0,,,,1,,0,0,0,,0,0,0,,,1,0,0,,0,1,0,,0,,,3,,0,0,0,0,,,,0,,0,1,0,,,0,0,0,0,0,0,0,1,0,,,,,0,,0,0,0,,0,0,0,1,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,82,0,0,0
Swiss Litter Report,laclÈman_gland_kubela,CH,,7,Rural,Rocky,20180119,Cleanup,,6.281935828,46.40286928,6.281920386,46.40293208,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,
"Aarhus University, Denmark ",MSFD Nymindegab,DK,North-east Atlantic Ocean,100,Rural,Sandy,20170406,Monitoring,,8.163800428,55.84143681,8.164009136,55.84054878,,3,7,,8,7,,3,1,,,2,,1,,,,1,3,1,,,1,,,,4,,,1,,1,,,,2,,,,,,,1,39,,1,,18,1,,,,1,1,,,2,6,1,,1,1,,12,,,65,,4,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,10,2,2,5,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,4,,1337
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170601,Cleanup,,9.198334671,47.52407261,9.197132864,47.52438768,,0,3,,0,0,,0,,,0,,,,,,,0,0,0,0,2,0,24,0,,0,0,0,1,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,1,0,0,,,,0,,0,4,0,,,0,1,0,0,0,7,0,0,0,,,,,1,,0,1,0,,2,0,1,3,0,,,0,,,,0,,,0,,0,0,2,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,Bodensee_Steinach_Dolder_A,CH,,92,Urban,Other (mixed),20180126,Cleanup,,9.436171386,47.50629918,9.436930447,47.50564823,,11,9,,2,,,2,,,,,,,,,,1,,2,,,1,3,,,7,2,,1,,2,,1,,,,,,,,,2,2,,,,,,,1,,,,,,,6,,,,,,,,,4,,12,1,,,,,,1,,,,,,2,,,,,7,,2,2,1,,,,,,,,2,1,,,,,1,,,2,,,,2,1,2,,,2,,,,,,,,2,,,,1,,4,,2,1,,,,2,,,,,,,,,1,,1,,3,,,,1,,,,6,2,,
Surfrider Foundation Europe,"RUE AFAERIRII, 98716 PIRAE, Polyn?sie fran?aise",Int,,174,,,20150313,Cleanup,,-149.551,-17.5257,-149.55,-17.5257,,30,100,,100,,,30,,,,,,,,,,60,,,,,5,,,,,10,5,,,40,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,10,,20,,,,,,,,30,,,
Swiss Litter Report,sihlsee_einsiedeln_schilligerllacherl,CH,,66,,,20170923,Cleanup,,8.760358841,47.14139385,8.760347463,47.1419862,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,12,0,,3,1,0,1,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,10,1,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,1,0,0,,0,,,0,,0,0,3,0,,,,0,,0,0,0,,,1,0,0,0,0,2,0,0,0,,,,,0,,0,1,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,1,0,0,,,0,0,,,,2,0,1,0
Independent,Praia da Cabana do Pescador,PT,North-east Atlantic Ocean,679,Rural,Sandy,20140805,Cleanup,,-9.214675578,38.6101649,-9.211504647,38.60459478,,0,1,,4,0,,6,,,,,,,,,,1,,,,,,0,,,0,,,,0,0,,,,,,,,0,,,,4,,2,,,,,,,,,,,,,,,,,,0,15,,,,0,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Swiss Litter Report,Sihl_zuerich_eichenbergerD,CH,,47,,,20170507,Cleanup,,8.516696451,47.33958832,8.516876114,47.34000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"La Belle Fontaine Le Palais, 56360 Le Palais, France",FR,North-east Atlantic Ocean,75,,,20150619,Cleanup,,-3.14718,47.3337,-3.14618,47.3337,,10,,,,,,10,,,,,,,,,,5,,,,,,5,,,5,,,,,,,,,,,,,,,,,10,,,,20,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,
Swiss Litter Report,Emme_Utzenstorf_Gr¸ttert,CH,,9,Rural,Other (mixed),20180130,Cleanup,,7.539627,47.123696,7.53951,47.12369645,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,1,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,1,0,,,0,,,,0,,,0,,0,0,0,1,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,LaclÈman_Gland_LecoanetS,CH,,85,,,20171010,Cleanup,,6.281958615,46.40281064,6.281908085,46.40357722,,,,,,,,,,,,,,,,,,,,5,,,,5,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,17,,,,,,,,,,,,4,1,,,,1,1,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Perseus,Mangalia 1,RO,Black Sea,2081,Urban,Sandy,20150319,Cleanup,,28.58960172,43.80935175,28.59300129,43.82791516,,0,1,,0,0,,0,,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
DeFishGear - Slovenia,Debeli rtic 2 MLW Month,SI,Mediterranean Sea,109,Rural,Pebbels,20170923,Cleanup,,13.70469429,45.59241451,13.70400764,45.59155864,,13,,,3,,,18,,,,,,,,,,,,10,,,,8,,,,,,2,1,1,,,,,,,,13,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,42,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,5,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,391,,,
Plastic Change,Roskilde Vig Syd,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20180404,Monitoring,,12.06463072,55.656057,12.066131,55.65575,,,1,,,,,,,,,,,,,,,,,1,2,,,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,10,,,
Swiss Litter Report,thur_schwarzenbach_meiliw,CH,,77,Rural,Other (mixed),20180130,Cleanup,,9.063815632,47.44678658,9.064160585,47.44744754,,3,2,,2,1,,2,,,1,,,,,,,1,,,,,,1,,,2,,,3,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,1,,2,,,,,,,,,,,3,1,,9,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Swiss Litter Report,greifensee_uster_fischerb_1,CH,,36,Urban,Pebbels,20171019,Cleanup,,8.689797231,47.35012739,8.689775815,47.3498032,,1,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,8,0,,3,0,0,0,0,1,,0,,,,,,,,,0,1,0,,,,,,0,,,,,0,0,2,,,0,0,,,,,1,0,1,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,1,0,0,,0,,,0,,0,0,0,0,,,,1,,0,0,0,,,0,0,0,0,0,0,8,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,1,,,,0,0,0,0
Coder Dojo Dunmore East,Councillors Strand,IE,North-east Atlantic Ocean,120,Urban,Sandy,20190309,Cleanup,,-6.992561197,52.15540616,-6.990807444,52.15530335,,1,,,3,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,Aare_bern_gerberm,CH,,89,,,20180331,Cleanup,,7.452097669,46.98936306,7.451373357,46.98999934,,6,3,,0,0,,1,,,0,,,,,,,0,0,0,0,0,1,3,0,,0,0,1,0,0,1,,0,,,,,,,,,0,4,0,,,,,,1,,,,,0,0,3,,,0,0,,,,,6,5,0,0,,,,0,,2,0,0,,1,0,7,,,0,0,2,,3,1,0,,0,,,1,,0,0,4,0,,,,2,,7,35,0,,,0,0,0,0,0,4,0,0,0,,,,,0,,0,0,0,,0,0,1,1,0,,,0,,,,0,,,3,,1,0,6,2,0,,,0,0,,,,9,0,0,0
Swiss Litter Report,sitter_stgallen_steinbrunnerf ,CH,,43,Rural,Rocky,20170412,Cleanup,,9.358074695,47.43329174,9.358549716,47.43350793,,,,,,,,,,,,,,,,,,,,,,,,64,,,5,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,5,,4,,1,,1,,,,,,,,,,,,3,,,,,,,,,,,,,
Swiss Litter Report,Aare_bern_gerberm,CH,,89,,,20170829,Cleanup,,7.452097669,46.98936306,7.451373357,46.98999934,,3,3,,0,0,,1,,,0,,,,,,,0,0,0,0,0,0,2,0,,4,0,1,2,0,2,,0,,,,,,,,,3,2,0,,,,,,0,,,,,0,0,8,,,0,0,,,,,5,0,0,0,,,,0,,2,0,0,,1,0,23,,,0,0,3,,8,1,0,,0,,,0,,0,3,2,2,,,,1,,4,45,0,,,0,0,0,0,0,0,6,0,0,,,,,0,,0,1,0,,10,1,2,1,0,,,1,,,,0,,,3,,1,0,5,3,0,,,0,1,,,,9,0,0,0
Independent,Fonte da Telha,PT,North-east Atlantic Ocean,450,Rural,Sandy,20161001,Cleanup,,-9.189903473,38.55838159,-9.188484689,38.55448598,,,93,,26,14,,17,,,,,,,,,,108,,,,,,524,,,56,,,,,56,,,,,,,,,,,,147,,29,,,,,,,,,,,,,,,,,,21,200,,,,118,,,,,,,,,,,,190,,,,,,,,23,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,Walensee_Walenstadt_WyssE,CH,,26,,,20170614,Cleanup,,9.299551653,47.12182823,9.299250399,47.12170236,,2,1,,1,0,,1,,,2,,,,,,,3,1,2,3,5,1,35,0,,10,10,1,0,0,0,,0,,,,,,,,,1,1,0,,,,,,0,,,,,0,1,30,,,0,0,,,,,24,0,32,0,,,,0,,0,1,0,,0,0,0,,,0,0,0,,5,4,0,,0,,,0,,0,0,0,0,,,,0,,0,1,0,,,1,0,1,0,0,4,0,0,0,,,,,0,,0,3,0,,1,0,2,0,0,,,0,,,,0,,,0,,1,0,0,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,reuss_h¸nenberg_eberhardy,CH,,28,Rural,Other (mixed),20171031,Cleanup,,8.401012085,47.23297549,8.401218684,47.23318606,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Sea NGO Network,Shkorpilovtsi,BG,Black Sea,162,Rural,Sandy,20180325,Monitoring,,27.89891667,42.95565,27.89926667,42.95421667,,3,18,,16,20,,5,,,,,,,,,,212,,,,,,14,,,5,,,,13,12,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,24,108,,,,34,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,37,,,
Swiss Litter Report,vierwaldst‰ttersee_weggis_schˆberls_1,CH,,23,,,20170403,Cleanup,,8.418568937,47.04453213,8.418664934,47.04472764,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,2,1,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,1,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,1,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Surfrider Foundation Europe,"via lungomare di pegli, 16155 Genova, Italie",IT,Mediterranean Sea,79,,,20150418,Cleanup,,8.81444,44.4253,8.81544,44.4253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
Surfers Against Sewage,Hamble common foreshore,UK,North-east Atlantic Ocean,574,,,20150317,Cleanup,,-1.314238082,50.8498302,-1.321767087,50.85195698,,0,1,,1,0,,1,,1,,,,,,,,5,,,,2,,0,,,14,1,,,,,,,,,,,,,,,1,7,,,,1,,,,,,,,,,2,,,,,,4,8,,,,1,,,,,1,,,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,11,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Swiss Litter Report,jona_tann_nusslin,CH,,12,,,20171231,Cleanup,,8.864125149,47.26842718,8.864092428,47.26831725,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,1,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,1,,0,0,0,,,0,0,0,0,0,1,1,0,0,,,,,0,,0,0,0,,0,0,0,2,0,,,0,,,,0,,,0,,0,0,0,1,0,,,0,2,,,,0,0,0,3
Swiss Litter Report,Birs_Basel_GrunerN,DE,,34,Urban,Pebbels,20171029,Cleanup,,7.622198822,47.55112758,7.621976494,47.55139102,,1,,,,,,1,,,,,,,,,,1,,,,,,103,,,2,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,21,,1,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,3,11,,7,,,,,,,,,,,,,,1,,4,16,1,,,,,,,,,,,,,,1,,,,,,,,,,15,,,
"Aarhus University, Denmark ",MSFD Nymindegab,DK,North-east Atlantic Ocean,100,Rural,Sandy,20180709,Monitoring,,8.163800428,55.84143681,8.164009136,55.84054878,,2,,,2,,,1,,,,,,,,,,1,,1,,,,,,,4,,,1,,,,,,,,1,,,,,1,22,,,,6,,,,,,,,,,1,,,1,,,8,,,25,,3,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,14
Swiss Litter Report,greifensee_uster_fischerb_1,CH,,36,Urban,Pebbels,20180101,Cleanup,,8.689797231,47.35012739,8.689775815,47.3498032,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Mare Nostrum,Constanta,RO,Black Sea,105,Urban,Sandy,20140408,Cleanup,,28.65538,44.19412,28.65575,44.19321,,,187,2,41,24,,,,1,,,,,,,,42,,13,,2,7,92,1,1,185,,4,,54,34,,,,,,,,,,,5,,8,,,2,,,2,,,,,,,3,,,1,,,8,,,,,,,,,,,,,,,,,,3,1,,,1,,2,131,,,,,,,6,,,33,1,1,5,,2,20,1,1,104,,1,,5,12,6,2,,,38,5,,12,,,,,,,,,1,95,1,3,3,,,,,,,,,,,2,,,,4,1,4,,,,10,,,,,23,,
Swiss Litter Report,sorne_birse_WWFJura,CH,,16,Urban,Pebbels,20170409,Cleanup,,7.360909917,47.37098681,7.360815605,47.37111893,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,1,,1,,,,,,,,,,21,,,
Swiss Litter Report,zuerichsee_staefa_hennm,CH,,11,,,20170818,Cleanup,,8.769881407,47.23464309,8.770014323,47.2345991,,0,0,,0,0,,0,,,0,,,,,,,1,0,2,0,1,0,15,0,,8,1,0,0,1,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,14,,,0,0,,,,,1,0,3,0,,,,0,,0,0,0,,0,1,0,,,0,1,0,,3,4,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,4,0,0,0,0,,,,,0,,0,0,0,,0,0,0,3,0,,,0,,,,0,,,0,,0,0,0,0,3,,,0,0,,,,5,0,1,0
Swiss Litter Report,sempachersee_sempach_tampec,CH,,16,,,20170815,Cleanup,,8.191873684,47.1286181,8.191974288,47.12875135,,0,1,,0,0,,0,,,0,,,,,,,0,1,0,0,0,0,1,0,,5,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,1,,,,,0,0,31,,,0,0,,,,,7,0,2,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,1,0,0,,,,,0,,0,0,0,,1,0,1,1,0,,,0,,,,0,,,2,,0,0,0,0,0,,,0,1,,,,315,0,0,0
Swiss Litter Report,Bodensee_Steinach_Dolder_A,CH,,92,Urban,Other (mixed),20170529,Cleanup,,9.436171386,47.50629918,9.436930447,47.50564823,,9,31,,2,,,2,,,,,,,,,,6,2,,1,,3,19,,,16,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,12,6,5,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,1,,,,,,,,4,,,
Swiss Litter Report,Mammern swisslitterreport,DE,,375,Rural,Pebbels,20171201,Cleanup,,8.955316774,47.65583658,8.951153569,47.65394064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170507,Cleanup,,9.198334671,47.52407261,9.197132864,47.52438768,,,,,,,,,,,,,,,,,,,,,,1,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,Bodensee_Arbon_MˆsliS,CH,,30,,,20180228,Cleanup,,9.431144031,47.52088875,9.431524898,47.52098032,,0,0,,0,1,,0,,,0,,,,,,,1,0,0,1,0,0,5,0,,1,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,1,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,Aare_bern_gerberm,CH,,89,,,20170731,Cleanup,,7.452097669,46.98936306,7.451373357,46.98999934,,1,1,,0,0,,1,,,0,,,,,,,0,0,0,0,0,0,3,0,,3,0,0,0,0,1,,0,,,,,,,,,0,1,0,,,,,,0,,,,,0,0,5,,,0,1,,,,,9,2,0,0,,,,0,,2,0,0,,1,0,8,,,0,1,0,,6,0,0,,4,,,0,,0,0,2,0,,,,0,,6,23,0,,,0,0,0,0,0,1,0,0,0,,,,,0,,0,2,0,,13,0,3,1,1,,,0,,,,0,,,0,,0,0,5,0,0,,,1,2,,,,2,0,0,0
Swiss Litter Report,Neuenburgersee_Cudrefin_MatterA,CH,,5,Rural,Sandy,20171217,Cleanup,,7.025968066,46.96270889,7.026020294,46.96272914,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,rhein_laag_jungbluthn,DE,,163,Rural,Rocky,20170728,Cleanup,,8.717210402,47.69152541,8.715379336,47.69072451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocean-R-evolution.com,cleanuptravels.com,DE,,133,Urban,Pebbels,20170326,Cleanup,,9.237624267,47.63259335,9.235915846,47.63293966,,3,8,,4,,,1,,,,,,,,,,1,,3,,,,,,,3,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,6,11,,,,,,,,,1,,,,,,,,,,1,,,5,,,,1,,,,,,,,,,,,,,5,1,,,,1,,,,,1,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,1,
Institute for Water of the Republic of Slovenia,Piran 2,SI,Mediterranean Sea,80,Urban,Pebbels,20130722,Cleanup,,13.57598192,45.52751744,13.57532019,45.52806873,,,3,,,,,4,1,,,,,,,,,1,,1,1,2,,29,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,13,,,,,,,,,1,,,,,,,,,,,,1,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
?ista obala Slovenia,Belveder - Bele skale,SI,Mediterranean Sea,1215,Rural,Pebbels,20140510,Cleanup,,13.64067866,45.53267674,13.62542762,45.5350967,,2,34,,10,2,,60,,,,3,,1,,,,31,,,9,,,104,,1,34,11,1,16,1,4,,,,,,,,6,,,,47,,27,,,,,,,6,,,,,95,,,,,,82,10,,,,10,,,,,1,,3,,,,,28,11,,,1,3,,,487,1,1,,,,,3,,,7,,1,,,,,,1,4,,1,,3,,7,,,9,,5,1,,1,,,,3,,12,,,17,,11,5,,,,,,,,,,,1,,,1,3,1,2,,,8,7,,,,446,1,,
DeFishGear - Slovenia,MLW Month_Izola,SI,Mediterranean Sea,103,Urban,Pebbels,20160917,Monitoring,,13.64411938,45.53189938,13.64530111,45.53231171,,1,,,,,,15,,,,,,,,,,29,,,,2,,2900,1,,,1,,,2,8,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,88,,6,,,,,,,,,,,,3,,,,,,,,,14,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,6,,4,23,,,,,,,,,,,,,,,,,,,,,1,,,,13,,15,
